	url	title
412	/wiki/Battle_of_Mons_Graupius	Battle of Mons Graupius
413	/wiki/First_Battle_of_Tapae	First Battle of Tapae
414	/wiki/Battle_of_Ikh_Bayan	Battle of Ikh Bayan
415	/wiki/Second_Battle_of_Tapae	Second Battle of Tapae
416	/wiki/Battle_of_Adamclisi	Battle of Adamclisi
417	/wiki/Battle_of_Sarmizegetusa	Battle of Sarmizegetusa
418	/wiki/Battle_of_Ctesiphon_(165)	Battle of Ctesiphon (165)
419	/wiki/Battle_of_Xingyang_(190)	Battle of Xingyang (190)
420	/wiki/Battle_of_Jieqiao	Battle of Jieqiao
421	/wiki/Battle_of_Yangcheng	Battle of Yangcheng
422	/wiki/Battle_of_Xiangyang_(191)	Battle of Xiangyang (191)
423	/wiki/Battle_of_Cyzicus_(193)	Battle of Cyzicus (193)
424	/wiki/Battle_of_Nicaea	Battle of Nicaea
425	/wiki/Battle_of_Fengqiu	Battle of Fengqiu
